Sentiment,News Headline
neutral,"A total EUR73 .7 m will be provided as secured senior three-year debt from the syndicate , involving Pohjola Bank HEL : POH1S , the Finnish arm of Nordea Bank AB STO : NDA , and Sampo Bank HEL : SAMAS ."
neutral,"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -� s shares outstanding ."
positive,"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today ."
neutral,Officials did not disclose the contract value .
neutral,Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .
neutral,"On preliminary estimate , the hotel will operate under the brand Novotel ."
neutral,15 September 2010 - Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .
neutral,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .
negative,"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 ."
neutral,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .
neutral,Electricity consumption grows with higher frequencies .
negative,Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .
positive,The expansion aims to attract new customers both in Finland and abroad .
negative,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ."
neutral,"Cencorp would focus on the development , manufacture and marketing of standard products for production automation ."
positive,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock ."
neutral,"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes ."
positive,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 ."
neutral,"Simultaneously , Alma Media has purchased a 35 % share of Arena Interactive , a subsidiary of Arena Partners with a focus on mobile solutions development ."
neutral,"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand ."
neutral,"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows ."
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 ."
positive,"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 1.29 % at 1,084.47 points on Friday ."
positive,We are very proud to be able to use this kind of innovative mobile service for voting in elections .
neutral,"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says ."
positive,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 ."
positive,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 ."
positive,M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .
neutral,"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other ."
neutral,"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999 ."
neutral,"Ethanol would be made from barley , and production could start in 2008 ."
neutral,Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .
positive,"`` QPR 8 integrated management system is the fastest , easiest and most efficient way for organizations all around the world to take control of their human-centric business processes ."
neutral,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia ."
positive,"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said ."
negative,"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier ."
neutral,"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan ."
neutral,"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc and Pohjola Bank Plc. ."
neutral,"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks ."
neutral,Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .
neutral,The project also implies an underground parking lot for 56 vehicles .
negative,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .
neutral,"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures ."
neutral,"Kemira 's R&D organization comprises approximately 750 people , the company said ."
positive,"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''"
positive,"The move is aimed at boosting sales , cost-efficiency and market share in Finland ."
neutral,"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking ."
negative,Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .
neutral,"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories ."
neutral,Stora Enso will receive a 19.9 pct equity interest in the combined company .
neutral,`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .
positive,"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland ."
negative,Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .
neutral,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones ."
neutral,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .
negative,Net sales dropped by 6 % year-on-year to EUR 11.9 million .
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ."
neutral,The transaction value is CAD 15 million approximately EUR 10 million .
neutral,"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid ."
positive,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share ."
neutral,"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets ."
negative,Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .
positive,`` Ixonos has a rich heritage in developing leadership experiences in the smartphone segment .
positive,Return on investment was 16.6 % compared to 15.8 % in 2004 .
neutral,"The total value of the agreement is USD4 .0 m , the company said ."
positive,"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx ."
neutral,Part of the reductions will be made through retirement arrangements .
neutral,"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics ."
positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .
neutral,"The market making in accordance with the agreement will begin on September 24 , 2009 ."
positive,"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 ."
negative,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .
neutral,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .
positive,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier ."
neutral,"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 ."
neutral,"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience ."
neutral,The dividends payable annually shall be deducted from the share subscription price .
neutral,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .
positive,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .
neutral,"Information system supplier Sentera -- up 24.51 pct -- was the next most heavily traded share after SysOpen Digia , a software house , acquired 77.4 pct of the company this morning for just under 33 mln eur ."
neutral,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed ."
neutral,GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .
neutral,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights ."
negative,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday ."
neutral,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania ."
neutral,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .
negative,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .
neutral,"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity ."
neutral,The company is presently examining whether the project would be financially feasible .
neutral,"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators ."
neutral,"Local government commissioner of +_m+_l , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +_m+_l ."
neutral,"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th ."
positive,"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment ."
positive,"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn ."
positive,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
neutral,Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .
neutral,"The mill will have capacity to produce 500,000 tonnes of pulp per year ."
neutral,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .
negative,"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 ."
negative,Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .
positive,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn ."
neutral,"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 ."
neutral,Also the traditional grapevine carries a lot of weight .
positive,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .
neutral,Roshan 's net sales in 2006 were $ 191 million and EBITDA was $ 66.5 million .
neutral,"Patrick Jeambar will also continue being responsible for Innovation and Health , safety and environment HSEA functions of Ahlstrom Corporation ."
neutral,"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million ."
negative,"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before ."
negative,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .
neutral,"Panostaja treats its negotiating partners , such as entrepreneurs selling their life s work and newcomer entrepreneurs seeking a career , fairly , justly and according to the law ."
neutral,The MET is located in the Central Business District ( CBD ) of Bangkok .
neutral,The presentation material can be viewed on the company 's website in English after the conference .
neutral,"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays ."
neutral,The value of the multi-year agreement is over EUR 2mn a year .
negative,"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy ."
neutral,"The total value of the order , placed by Aspo ' marine transportation subsidiary ESL Shipping Oy , is EUR 60 million ( USD 77.5 m ) ."
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 ."
neutral,"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp ."
neutral,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role ."
neutral,"Nokia will provide Indosat turnkey services , including civil works , network planning , implementation and integration of a WCDMA 3G-HSPA network ."
neutral,"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million ."
positive,The cooperation will double The Switch 's converter capacity .
neutral,"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations ."
positive,Ramirent is a leading company in machinery and equipment rentals for construction and industry .
neutral,The opening of the portal is part of the expansion strategy of Alma Media 's Marketplaces business unit .
neutral,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive ."
positive,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 ."
neutral,The company continued the development of a fully human antibody in its VAP-1 antibody program .
positive,Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .
neutral,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .
neutral,The value of the orders is about EUR 25mn .
negative,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 ."
positive,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent ."
neutral,Finnish consumers prefer to buy the cheapest beer brand .
negative,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200"
negative,"The pulp production in Finnish Kemij+�rvi will also be liquidated and about 1,100 employees loose their jobs ."
positive,"As a domestic business , Best-In is already close to Finnish dog owners ."
positive,The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .
neutral,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ."
neutral,"As part of the transaction , the +_+�nekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract ."
neutral,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country ."
neutral,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .
positive,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year ."
neutral,Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .
negative,"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before ."
neutral,"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 ."
neutral,"Cencorp , headquartered in Virkkala , Finland , develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity ."
positive,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .
neutral,The value of the confirmed aircraft orders totals EUR 2bn .
positive,The representative body of Swedish Meats approved an improved offer from Finnish HK Ruokatalo to acquire the company .
neutral,"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location ."
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter ."
positive,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
neutral,Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .
positive,`` The trend in the sports and leisure markets was favorable in the first months of the year .
neutral,"Last year , the firm also acquired Realprojekti Oy , a real estate development company , to advise CapMan on its property activities ."
neutral,"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well ."
positive,"`` Neste Oil has responded to the challenge posed by the European Union 's target of biofuels accounting for 5.8 % of traffic fuel usage in the EU by 2010 by developing its NExBTL technology for producing diesel fuel from renewables , '' the federation said ."
neutral,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .
negative,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ."
neutral,Active shipping is essential for Finland .
positive,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 ."
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 ."
neutral,"In addition , the contract includes modification of the effluent treatment plant at Follum ."
neutral,"Stora Enso , a global paper , packaging and wood products company , and Neste Oil , a Finnish company engaged in the refining and marketing of oil , have inaugurated the demonstration plant at Varkaus , Finland for biomass to liquids production utilizing forestry residues ."
positive,Industry Investment is very interested in Glaston 's solar energy projects .
neutral,"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units ."
neutral,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world ."
neutral,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company ."
neutral,"In 2007 , the Group 's net sales stood at EUR 22 million and it had about 150 employees at the end of June , 2008 ."
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .
positive,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .
negative,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools ."
positive,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .
positive,"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster ."
positive,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .
neutral,"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear ."
negative,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 ."
positive,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .
positive,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals ."
neutral,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .
neutral,"According to the report , Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % ."
neutral,"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region ."
neutral,The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .
neutral,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .
neutral,"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports ."
negative,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ."
positive,"With the acquisition , the company will expand its offering to North , Central and South America , it said ."
positive,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. ."
neutral,It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .
positive,"Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint ."
neutral,The transaction will take place without payment of merger consideration .
neutral,"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries ."
positive,We can capitalize on our experience from a number of similar bridge projects in the Nordic countries .
positive,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .
positive,Latvenergo has ordered a significant expansion to the Tekla Xpower network information system .
neutral,It is planned to set up the A class business center in the two top storeys of the complex .
neutral,"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 ."
neutral,"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments ."
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier ."
neutral,Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .
neutral,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .
positive,"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis ."
positive,"Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex ."
neutral,"According to L+�nnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does ."
positive,The mill has long traditions and holds an established position in the markets .
neutral,"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville ."
positive,"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade ."
positive,"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection ."
positive,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .
neutral,"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels ."
negative,"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said ."
neutral,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .
neutral,The name of the buyer was not disclosed .
positive,"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 ."
positive,"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 ."
neutral,"In Finland , 71 % of paper and paperboard is reclaimed ."
neutral,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .
neutral,The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .
neutral,"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction ."
neutral,Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .
neutral,Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .
neutral,No changes in media activity were seen in October compared with September .
neutral,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 ."
neutral,Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .
neutral,"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing ."
neutral,"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank ."
positive,services supplier Efore Plc to streamline operations in Finland and the US Finnish electronic systems and services supplier Efore Plc ( OMX Helsinki : EFO1V ) said on Tuesday ( 3 February ) that it has initiated statutory negotiations regarding a streamlining of its operations in Finland .
neutral,"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators ."
neutral,"M-real generated a turnover of EUR5 .6 bn in 2006 and has 15,500 employees ."
neutral,"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company ."
neutral,"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % ."
neutral,"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company ."
neutral,Metso 's delivery will include a complete coated board line with related air systems and two winders .
positive,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year ."
negative,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .
negative,"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic ."
neutral,Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .
positive,"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said ."
positive,Singapore in May 2011 1 July 2010 - Finnish air carrier Finnair Oyj ( HEL : FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .
